2026-05-23 12:19:55.392 | INFO     | wisp.utils.logging:log_environment:50 - torch 2.12.0 | device=mps
2026-05-23 12:19:55.411 | INFO     | wisp.training.trainer:run_training:53 - dataset: 848 virtual windows across 106 clips
2026-05-23 12:19:56.658 | INFO     | wisp.training.trainer:run_training:94 - denoiser params: 5.38M
2026-05-23 12:55:19.580 | INFO     | wisp.training.trainer:run_training:142 - epoch   53/300 | total=0.0244 | rec=0.0175 | pos=0.0060 | vel=0.0018 | bone=0.0000 | 4.2s
2026-05-23 12:55:23.780 | INFO     | wisp.training.trainer:run_training:142 - epoch   54/300 | total=0.0236 | rec=0.0169 | pos=0.0058 | vel=0.0017 | bone=0.0000 | 4.2s
2026-05-23 12:55:27.975 | INFO     | wisp.training.trainer:run_training:142 - epoch   55/300 | total=0.0242 | rec=0.0173 | pos=0.0060 | vel=0.0017 | bone=0.0000 | 4.2s
2026-05-23 12:55:32.172 | INFO     | wisp.training.trainer:run_training:142 - epoch   56/300 | total=0.0235 | rec=0.0169 | pos=0.0057 | vel=0.0017 | bone=0.0000 | 4.2s
2026-05-23 12:55:36.370 | INFO     | wisp.training.trainer:run_training:142 - epoch   57/300 | total=0.0240 | rec=0.0173 | pos=0.0059 | vel=0.0017 | bone=0.0000 | 4.2s
2026-05-23 12:55:40.569 | INFO     | wisp.training.trainer:run_training:142 - epoch   58/300 | total=0.0235 | rec=0.0169 | pos=0.0058 | vel=0.0018 | bone=0.0000 | 4.2s
2026-05-23 12:55:44.768 | INFO     | wisp.training.trainer:run_training:142 - epoch   59/300 | total=0.0231 | rec=0.0167 | pos=0.0056 | vel=0.0015 | bone=0.0000 | 4.2s
2026-05-23 12:55:48.964 | INFO     | wisp.training.trainer:run_training:142 - epoch   60/300 | total=0.0227 | rec=0.0163 | pos=0.0055 | vel=0.0016 | bone=0.0000 | 4.2s
2026-05-23 12:55:53.167 | INFO     | wisp.training.trainer:run_training:142 - epoch   61/300 | total=0.0241 | rec=0.0173 | pos=0.0059 | vel=0.0016 | bone=0.0000 | 4.2s
2026-05-23 12:55:57.374 | INFO     | wisp.training.trainer:run_training:142 - epoch   62/300 | total=0.0224 | rec=0.0162 | pos=0.0055 | vel=0.0016 | bone=0.0000 | 4.2s
2026-05-23 12:56:01.571 | INFO     | wisp.training.trainer:run_training:142 - epoch   63/300 | total=0.0227 | rec=0.0164 | pos=0.0056 | vel=0.0015 | bone=0.0000 | 4.2s
2026-05-23 12:56:05.772 | INFO     | wisp.training.trainer:run_training:142 - epoch   64/300 | total=0.0223 | rec=0.0161 | pos=0.0055 | vel=0.0015 | bone=0.0000 | 4.2s
2026-05-23 12:56:09.974 | INFO     | wisp.training.trainer:run_training:142 - epoch   65/300 | total=0.0223 | rec=0.0161 | pos=0.0055 | vel=0.0016 | bone=0.0000 | 4.2s
2026-05-23 12:56:14.188 | INFO     | wisp.training.trainer:run_training:142 - epoch   66/300 | total=0.0223 | rec=0.0160 | pos=0.0055 | vel=0.0015 | bone=0.0000 | 4.2s
2026-05-23 12:56:18.387 | INFO     | wisp.training.trainer:run_training:142 - epoch   67/300 | total=0.0218 | rec=0.0157 | pos=0.0053 | vel=0.0015 | bone=0.0000 | 4.2s
2026-05-23 12:56:22.587 | INFO     | wisp.training.trainer:run_training:142 - epoch   68/300 | total=0.0222 | rec=0.0160 | pos=0.0055 | vel=0.0015 | bone=0.0000 | 4.2s
2026-05-23 12:56:26.793 | INFO     | wisp.training.trainer:run_training:142 - epoch   69/300 | total=0.0222 | rec=0.0159 | pos=0.0055 | vel=0.0015 | bone=0.0000 | 4.2s
2026-05-23 12:56:31.207 | INFO     | wisp.training.trainer:run_training:142 - epoch   70/300 | total=0.0225 | rec=0.0162 | pos=0.0056 | vel=0.0015 | bone=0.0000 | 4.4s
2026-05-23 12:56:35.697 | INFO     | wisp.training.trainer:run_training:142 - epoch   71/300 | total=0.0218 | rec=0.0157 | pos=0.0054 | vel=0.0015 | bone=0.0000 | 4.5s
2026-05-23 12:56:40.080 | INFO     | wisp.training.trainer:run_training:142 - epoch   72/300 | total=0.0217 | rec=0.0158 | pos=0.0053 | vel=0.0014 | bone=0.0000 | 4.4s
2026-05-23 12:56:44.497 | INFO     | wisp.training.trainer:run_training:142 - epoch   73/300 | total=0.0212 | rec=0.0152 | pos=0.0053 | vel=0.0014 | bone=0.0000 | 4.4s
